transect	time	cluster	week	mean	sd	normalMean	normalSD	distanceTenX
1	oakMargin	pm	cl1	34	0.0277777777777778	0.166666666666667	0.0258620689655172	0.141931772690873	0.0258620689655172
2	oakMargin	pm	cl1	32	0.0833333333333333	0.280305955290694	0.0775862068965517	0.2387059267813	0.0775862068965517
3	oakMargin	pm	cl1	31	0.111111111111111	0.318727629155838	0.103448275862069	0.271425464469883	0.103448275862069
4	oakMargin	pm	cl1	30	0	0	0	0	0
5	oakMargin	pm	cl1	29	0.138888888888889	0.350736187206101	0.129310344827586	0.298683652781998	0.129310344827586
6	oakMargin	pm	cl1	28	0.166666666666667	0.447213595499958	0.155172413793103	0.380842910284607	0.155172413793103
7	oakMargin	pm	cl1	27	0.166666666666667	0.389249472080761	0.155172413793103	0.331481205548453	0.155172413793103
8	oakMargin	pm	cl1	26	0.111111111111111	0.318727629155838	0.103448275862069	0.271425464469883	0.103448275862069
9	oakMargin	pm	cl1	25	0.333333333333333	0.676123403782813	0.310344827586207	0.575780359540088	0.310344827586207
10	oakMargin	pm	cl1	24	0.75	0.996422170998389	0.698275862068965	0.848543790469735	0.698275862068965
11	oakMargin	pm	cl1	23	0.25	0.554204706893452	0.232758620689655	0.471955538898079	0.232758620689655
12	oakMargin	pm	cl2	34	0	0	0	0	0
13	oakMargin	pm	cl2	32	0.185185185185185	0.39584739066357	0.172413793103448	0.337099931231621	0.172413793103448
14	oakMargin	pm	cl2	31	0.0740740740740741	0.266880256341812	0.0689655172413793	0.227272727272727	0.0689655172413793
15	oakMargin	pm	cl2	30	0.222222222222222	0.423659272868162	0.206896551724138	0.360784269690626	0.206896551724138
16	oakMargin	pm	cl2	29	0.185185185185185	0.48334070138799	0.172413793103448	0.411608415369883	0.172413793103448
17	oakMargin	pm	cl2	28	0.259259259259259	0.446576084704722	0.241379310344828	0.380300012060943	0.241379310344828
18	oakMargin	pm	cl2	27	0	0	0	0	0
19	oakMargin	pm	cl2	26	0.111111111111111	0.320256307610174	0.103448275862069	0.272727272727273	0.103448275862069
20	oakMargin	pm	cl2	25	0.185185185185185	0.622466374565235	0.172413793103448	0.530086535895027	0.172413793103448
21	oakMargin	pm	cl2	24	0.703703703703704	0.724027985796491	0.655172413793103	0.616575453011388	0.655172413793103
22	oakMargin	pm	cl2	23	0.296296296296296	0.541707756495413	0.275862068965517	0.461313252958737	0.275862068965517
23	oakMargin	pm	cl3	34	0	0	0	0	0
24	oakMargin	pm	cl3	32	0.037037037037037	0.192450089729875	0.0344827586206896	0.163888694339272	0.0344827586206896
25	oakMargin	pm	cl3	31	0.037037037037037	0.192450089729875	0.0344827586206896	0.163888694339272	0.0344827586206896
26	oakMargin	pm	cl3	30	0	0	0	0	0
27	oakMargin	pm	cl3	29	0.222222222222222	0.423659272868162	0.206896551724138	0.360784269690626	0.206896551724138
28	oakMargin	pm	cl3	28	0.185185185185185	0.48334070138799	0.172413793103448	0.411608415369883	0.172413793103448
29	oakMargin	pm	cl3	27	0.555555555555556	0.726483157256779	0.517241379310345	0.6186662540371	0.517241379310345
30	oakMargin	pm	cl3	26	0.185185185185185	0.39584739066357	0.172413793103448	0.337099931231621	0.172413793103448
31	oakMargin	pm	cl3	25	0.111111111111111	0.320256307610174	0.103448275862069	0.272727272727273	0.103448275862069
32	oakMargin	pm	cl3	24	1.07407407407407	1.17427312790397	1	1	1
33	oakMargin	pm	cl3	23	0.37037037037037	0.741523802623726	0.344827586206897	0.631474726793173	0.344827586206897
